"Score","Category","File","FullPath","LineNumber","SuggestedRange","MatchedPattern","Code"
"6","Report generation or export","reports\tia_director_pack_generator.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\reports\tia_director_pack_generator.py","109","106-117","output","def _log_generated_output(db_path: Path, payload: dict[str, Any]) -> None:"
"6","Report generation or export","reports\tia_director_pack_generator.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\reports\tia_director_pack_generator.py","389","386-397","output","def save_output(self, context: dict) -> Path:"
"6","Report generation or export","reports\tia_director_pack_generator.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\reports\tia_director_pack_generator.py","415","412-417","output; report","def generate_tia_director_pack_report(context: dict, output_dir: Path) -> Path:"
"6","Generated report or output format","scripts\build_delay_tia_question_preview.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\build_delay_tia_question_preview.py","68","65-76","\.csv","p6_df = frames.get(""steel_delay_tia_templates/04- p6_activity_export.csv"", pd.DataFrame())"
"6","Generated report or output format","scripts\evaluate_delay_tia.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_delay_tia.py","118","115-126","\.csv","p6_df = load_csv(""04- p6_activity_export.csv"")"
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","49","46-57","\.html; \.htm","""Download Executive Dashboard (.html)"","
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","50","47-58","pptx; \.pptx","""Download Updated Original Presentation (.pptx)"","
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","51","48-59","\.html; \.htm","""Download Linked Executive Dashboard (.html)"","
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","52","49-60","pptx; \.pptx","""Download Linked Executive Dashboard PowerPoint (.pptx) - Landscape"","
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","53","50-61","\.html; \.htm","""Download Summarized Linked Dashboard (.html) - A3 Landscape One Page"","
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","54","51-62","\.xlsx; \.xls; report","""Download Detailed Progress Report (.xlsx)"","
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","55","52-63","\.html; \.htm; report","""Download Detailed Progress Report (.html)"","
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","56","53-64","\.docx; report","""Download Detailed Progress Report (.docx)"","
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","57","54-65","\.html; \.htm","""Download Power BI Style Dashboard (.html)"","
"6","Report generation or export","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","156","153-164","output","def inspect_generated_outputs() -> pd.DataFrame:"
"6","Output Studio","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","198","195-206","Output Studio; output studio; output","<title>Output Studio Eval Scorecard</title>"
"6","Output Studio","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","224","221-232","Output Studio; output studio; output","<h1>Output Studio Eval Scorecard</h1>"
"6","Output Studio","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","230","227-238","Output Studio; output studio; output","<section class=""panel""><h2>Output Studio Source Excerpt</h2><pre>{source_excerpt[:9000]}</pre></section>"
"6","Output Studio","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","239","236-247","output_studio; output","studio_source = extract_output_studio_source(source)"
"6","Output Studio","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","256","253-264","Output Studio; output studio; output","(""Output Studio has no password gate"", ""output_password"" not in studio_source and ""AhmedLabib"" not in studio_source, 6),"
"6","Output Studio","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","284","281-292","Output Studio; output studio; output","(""Output Studio uses active project identity"", ""selected_project_id()"" in studio_source and ""output_project_slug"" in studio_source, 10),"
"6","Generated report or output format","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","324","321-332","to_csv; \.csv; output","generated_inventory.to_csv(OUTPUT_DIR / f""generated_inventory_{label}.csv"", index=False, encoding=""utf-8-sig"")"
"6","Report generation or export","src\construction_system\reporting.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\src\construction_system\reporting.py","33","30-41","output; report","def generate_html_report(db_path=DEFAULT_DB_PATH, output_path: str | Path | None = None) -> Path:"
"6","Report generation or export","src\construction_system\steel_delay_tia.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\src\construction_system\steel_delay_tia.py","1334","1331-1342","report","def build_validation_report(mapped_df: pd.DataFrame, missing_fields: list[str], duplicate_ids: list[str], dataset_name: str) -> pd.DataFrame:"
"6","Report generation or export","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","10","7-18","output","def item(page, section, displayed, source_file, columns, transform, function, scope=""project"", missing=""Show zero, empty table, or selected-project setup state"", validation=""project_id must equal active project_id"", source_folder=""01-data/import_templates"", output=""Streamlit and selected-project exports""):"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","34","31-42","\.csv; output","item(""Decision Making dashboard"", ""Overall Portfolio"", ""Portfolio KPI cards, sector donut, budget bar, bubble scatter, gauges, timeline, risk heatmap, SPI/CPI quadrant, radar, EV comparison, registry table"", ""projects.csv, activities.csv, evm.csv, risks.csv, milestones.csv + project_manifest.json"", ""project_id, sector_name, project_name, contract_value, progress, BAC, PV, EV, AC, SPI, CPI, risk and milestone rows"", ""Build one project registry row per discovered project; derive portfolio charts from registry without cross-project fallback"", ""dashboard.build_decision_dashboard_registry / render_decision_making_dashboard"", scope=""portfolio"", source_folder=""{sector}/{project}/01-data/import_templates"", output=""Streamlit Decision Making dashboard""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","35","32-43","\.csv; output","item(""Decision Making dashboard"", ""Phase transition"", ""Phase 1 portfolio command view and Phase 2 project workspace opener"", ""project_manifest.json + projects.csv"", ""project_id, sector_name, project_name, status, progress, SPI, CPI, risks"", ""Portfolio mode is standalone; select a project_id from preview cards/dropdown, then rerun selected project workspace"", ""dashboard.render_decision_making_dashboard"", scope=""portfolio"", source_folder=""{sector}/{project}"", output=""Streamlit Decision Making dashboard""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","36","33-44","\.csv; output","item(""Decision Making dashboard"", ""Sector Analysis"", ""Sector filter, sector health, budget vs spent, progress gauges, benchmark scatter, resource proxy, milestones, EV metrics"", ""projects.csv, evm.csv, risks.csv, milestones.csv"", ""Sector, Contract Value, AC, Progress, SPI, CPI, Risks, Milestones"", ""Filter portfolio registry rows by sector folder name"", ""dashboard.render_decision_making_dashboard"", scope=""portfolio"", source_folder=""{sector}/{project}/01-data/import_templates"", output=""Streamlit Decision Making dashboard""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","37","34-45","\.csv; output","item(""Decision Making dashboard"", ""Projects Analysis"", ""Multi-project filter, summary cards, budget comparison, progress/quality/safety trends, SPI/CPI scatter, risk stacked bars, EV comparison matrix"", ""projects.csv, evm.csv, risks.csv, milestones.csv"", ""Project, Contract Value, Progress, Quality, Safety, SPI, CPI, Risks, BAC, PV, EV, AC"", ""User-selected project comparison from registry rows"", ""dashboard.render_decision_making_dashboard"", scope=""portfolio"", source_folder=""{sector}/{project}/01-data/import_templates"", output=""Streamlit Decision Making dashboard""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","38","35-46","\.csv","item(""Global"", ""Header"", ""Project, contractor, employer, currency, status"", ""projects.csv + project_manifest.json"", ""project_name, contractor, client_name, currency, status"", ""Manifest identity merged with selected project metadata row"", ""dashboard active_project_record / build_overview_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","39","36-47","\.csv","item(""Overview"", ""Date cards"", ""Start, finish, duration, elapsed, remaining"", ""projects.csv"", ""planned_start, planned_finish"", ""Parse dates; duration=finish-start; elapsed bounded to 0-100%"", ""dashboard.build_overview_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","40","37-48","\.csv","item(""Overview"", ""Progress cards"", ""Overall and planned progress"", ""projects.csv"", ""actual_progress_percent, planned_progress_percent"", ""Numeric normalization; portfolio is contract-value weighted"", ""dashboard.build_overview_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","41","38-49","\.csv","item(""Overview"", ""Commercial card"", ""Contract value"", ""projects.csv"", ""contract_value, currency"", ""Numeric normalization and currency formatting"", ""dashboard.build_overview_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","42","39-50","\.csv","item(""Overview"", ""Activity cards"", ""Total and critical activities"", ""activities.csv"", ""activity_id, is_critical"", ""Count rows and is_critical=Yes"", ""dashboard.build_overview_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","44","41-52","\.csv","item(""WBS"", ""WBS analysis"", ""WBS table and construction charts"", ""wbs.csv"", ""WBS Code, WBS Name, schedule_%_complete, performance_%_complete, budget_cost, actual_cost"", ""Select available construction branches; no fixed WBS codes"", ""dashboard.build_wbs_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","45","42-53","\.csv","item(""Activities"", ""Activity KPIs and tables"", ""Total, critical, deviated, RFT, variance tables"", ""activities.csv"", ""activity_id, activity_name, planned_progress, actual_progress, baseline_finish, forecast_finish, is_critical, wbs_id"", ""Progress variance and finish slip derived per activity"", ""dashboard.build_activity_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","46","43-54","\.csv","item(""Milestones"", ""Milestone status"", ""Milestone counts, dates, status tables"", ""milestones.csv"", ""milestone_id, milestone_name, baseline_date, forecast_date, actual_date, status"", ""Date normalization and forecast variance"", ""dashboard.build_milestone_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","47","44-55","\.csv","item(""Milestones"", ""Change orders"", ""Change-order exposure"", ""change_orders.csv"", ""change_order_id, status, submitted_amount, approved_amount, time_impact_days"", ""Count and sum selected-project rows"", ""dashboard.build_milestone_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","48","45-56","\.csv","item(""S-Curve"", ""Progress curve"", ""Planned and actual curves"", ""s_curve.csv"", ""period, planned_progress, actual_progress"", ""Sort by period and normalize percentages"", ""dashboard.build_s_curve_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","49","46-57","\.csv","item(""EVM Analysis"", ""EVM cards and charts"", ""BAC, AC, EV, PV, SV, CV, EAC, TCPI, SPI"", ""evm.csv"", ""BAC, AC, EV, PV, SV, CV"", ""Sum selected rows; derive EAC, TCPI, SPI"", ""dashboard.build_evm_metrics / build_earned_value_analysis_data""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","50","47-58","\.csv","item(""Contracts"", ""Contract KPIs"", ""Contract count, certified, paid, outstanding"", ""contracts.csv + payments.csv"", ""contract_id, contract_value, certified_amount, paid_amount, payment_status"", ""Selected-project sums; missing numeric series becomes zero"", ""dashboard.build_contract_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","52","49-60","\.csv","item(""Risks"", ""Risk register"", ""Open, high, IFC, RFI risk metrics and tables"", ""risks.csv + ifc_conflict.csv + rfi_ status.csv"", ""risk_id, probability, impact, status, Delay Days, RFI No."", ""Normalize risk rating and count selected rows"", ""dashboard.build_risk_metrics""),"
"6","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","59","56-67","\.csv","item(""Contract & Claims Intelligence Center"", ""Contract clauses"", ""Clause search, entitlement and event matching"", ""06- contract_library.csv"", ""Clause / Topic, leverage, notice, money impact, schedule impact, evidence"", ""Load active project clause library only"", ""contract_matcher.set_clause_library_path / render_contract_clause_matching_engine"", source_folder=""02-delay_analysis/steel_delay_tia_templates""),"
"6","Output Studio","tools\validate_project_isolation.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\validate_project_isolation.py","128","125-136","Output Studio; output studio; output","results.check(""7. Output Studio paths are isolated"", first_context.outputs_path != second_context.outputs_path)"
"4","Report generation or export",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","158","155-166","output","""11-outputs/Project_Intelligence_Hub_Power_BI_Build_Kit.zip"":  {"
"4","Report generation or export",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","218","215-226","output","""11-outputs/power_bi_package/docs/Power_BI_Build_Guide.md"":  {"
"4","Report generation or export",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1113","1110-1121","report","""projects/Buildings/Sophia-Mall/08-branding/report_branding_template.json"":  {"
"4","Report generation or export",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1143","1140-1151","output","""projects/Buildings/Sophia-Mall/11-outputs/.gitkeep"":  {"
"4","Report generation or export",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1588","1585-1596","report","""projects/Buildings/The BIG - PH01/08-branding/report_branding_template.json"":  {"
"4","Report generation or export",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1618","1615-1626","output","""projects/Buildings/The BIG - PH01/11-outputs/.gitkeep"":  {"
"4","Report generation or export",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","2403","2400-2411","report","""reports/word_template_exporter.py"":  {"
"4","Report generation or export",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","2438","2435-2446","report","""scripts/generate_html_report.py"":  {"
"4","Report generation or export","contract_claims_center.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\contract_claims_center.py","338","335-346","output","exports_dir = app_dir / ""11-outputs"""
"4","Report generation or export","contract_claims_center.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\contract_claims_center.py","780","777-788","openpyxl","with pd.ExcelWriter(library_path, engine=""openpyxl"") as writer:"
"4","Report generation or export","contract_claims_center.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\contract_claims_center.py","781","778-789","to_excel; output","output_df.to_excel(writer, sheet_name=""Contract Clause Library"", index=False)"
"4","Report generation or export","contract_claims_center.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\contract_claims_center.py","971","968-979","output","""Write-Output $text """
"4","Report generation or export","contract_claims_center.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\contract_claims_center.py","2439","2436-2447","openpyxl; output","with pd.ExcelWriter(output, engine=""openpyxl"") as writer:"
"4","Report generation or export","contract_claims_center.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\contract_claims_center.py","2440","2437-2448","to_excel","clauses_df.to_excel(writer, sheet_name=""Contract Library"", index=False)"
"4","Report generation or export","contract_claims_center.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\contract_claims_center.py","2486","2483-2494","output","doc.save(output)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","38","35-46","report","fetch_last_generated_report,"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","248","245-256","openpyxl; report","raise RuntimeError(""openpyxl is required for the Detailed Progress report workbook export but is not installed."")"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","2266","2263-2274","report","""Export Report"","
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","4879","4876-4887","report","frames = _build_detailed_progress_report_frames(overview_metrics, evm_metrics, contract_metrics, delay_metrics, risk_metrics, milestone_metrics, activity_metrics, s_curve_metrics)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5027","5024-5035","report","<section class=""hero""><h1>Detailed Progress Report</h1><div class=""sub"">{project_name} | Generated {html.escape(pd.Timestamp.today().strftime('%d %b %Y'))}</div></section>"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5040","5037-5048","report","base_html = build_detailed_progress_report_html(overview_metrics, evm_metrics, contract_metrics, delay_metrics, risk_metrics, milestone_metrics, activity_metrics, s_curve_metrics)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","5858","5855-5866","output","wb.save(output)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","7920","7917-7928","report","delay_report_df = delay_tia_add_number_of_delayed_days_column(build_delay_tia_delay_report_df(context, analysis))"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","7985","7982-7993","openpyxl; output","with pd.ExcelWriter(output, engine=""openpyxl"") as writer:"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","7987","7984-7995","report","""Delay Report"": build_delay_tia_delay_report_df(context, analysis),"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8008","8005-8016","to_excel","delay_tia_add_number_of_delayed_days_column(frame).to_excel(writer, sheet_name=sheet_name[:31], index=False)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8507","8504-8515","report","evm_ppt = exportEVMToPowerPoint(project_title, report_date, evmData, rootCauseDf, mitigationDf, evmComments)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8511","8508-8519","download_button","export_col1.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8518","8515-8526","download_button","export_col2.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","8816","8813-8824","report","""Download Reports"","
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9325","9322-9333","download_button","st.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9334","9331-9342","openpyxl","st.warning(""Excel export is unavailable because openpyxl is not installed."")"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9631","9628-9639","report","if tia_view == ""Download Reports"":"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9635","9632-9643","report","delay_report_df = build_delay_tia_delay_report_df(active_delay_tia_context, active_delay_tia_analysis)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9637","9634-9645","report","detailed_report_html = build_delay_tia_detailed_report_html(active_delay_tia_context, active_delay_tia_analysis)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9638","9635-9646","report","excel_report_bytes = build_delay_tia_excel_report_bytes(active_delay_tia_context, active_delay_tia_analysis)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9640","9637-9648","report_type; report","last_generated_report = fetch_last_generated_report(CONTRACT_CLAIMS_DB_PATH, REPORT_TYPE_TIA_DIRECTOR_PACK)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9641","9638-9649","output","generated_docx_path = resolve_existing_output_path(st.session_state.get(""tia_director_pack_generated_path""))"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9642","9639-9650","report","if generated_docx_path is None and last_generated_report:"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9643","9640-9651","output; report","generated_docx_path = resolve_existing_output_path(last_generated_report.get(""file_path""))"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9650","9647-9658","download_button","c1.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9657","9654-9665","download_button","c2.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9664","9661-9672","download_button","c3.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9672","9669-9680","download_button","c4.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9679","9676-9687","download_button","c5.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9688","9685-9696","report","st.warning(f""Director-level DOCX report could not be generated: {director_docx_error}"")"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9690","9687-9698","report","default_report_context = build_delay_tia_director_pack_context("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9710","9707-9718","report","last_report_col.metric(""Last Generated Report"", generated_docx_path.name if generated_docx_path else ""None"")"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9865","9862-9873","report","status_df = build_data_source_status_df(report_source_frames)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9870","9867-9878","report","st.dataframe(build_replacement_preview_df(current_report_inputs), width=""stretch"", hide_index=True)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9872","9869-9880","report","if st.button(""Generate Time Impact Analysis Report | Director Pack"", key=""generate_tia_director_pack""):"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9886","9883-9894","report","""generated_by"": ""Delay TIA - Report Generator"","
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9891","9888-9899","output","output_path = generator.generate(generation_context)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9892","9889-9900","output","st.session_state[""tia_director_pack_generated_path""] = str(output_path)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","9894","9891-9902","output","st.success(f""Generated: {output_path.name}"")"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10007","10004-10015","download_button","st.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10015","10012-10023","Presentation\(","original_template_bytes, original_template_unresolved = build_original_template_presentation("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10026","10023-10034","download_button","c1.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10034","10031-10042","download_button","c2.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10139","10136-10147","report","evm_ppt = exportEVMToPowerPoint(linked_project_title, linked_report_date, linked_evmData, rootCauseDf, mitigationDf, evmComments)"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10182","10179-10190","download_button","linked_export_col1.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10189","10186-10197","download_button","linked_export_col2.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10197","10194-10205","download_button","linked_export_col_summary_html.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10204","10201-10212","download_button","linked_export_col_summary.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10211","10208-10219","download_button","linked_export_col3.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10218","10215-10226","download_button","linked_export_col4.download_button("
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10229","10226-10237","openpyxl","st.error(""`openpyxl` is not installed in the current environment, so the workbook export is temporarily unavailable."")"
"4","Report generation or export","dashboard.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dashboard.py","10232","10229-10240","report","workbook_bytes, report_readme, report_assumptions = build_detailed_progress_report_package("
